date,cycle
1993-07-31,hike
1994-03-31,hike
1994-04-30,hike
1994-05-31,hike
1994-06-30,hike
1994-07-31,hike
1994-08-31,hike
1994-09-30,hike
1994-10-31,hike
1994-11-30,hike
1994-12-31,hike
1995-01-31,hike
1995-02-28,hike
1995-03-31,hike
1995-04-30,hike
1995-07-31,cut
1995-08-31,cut
1996-02-29,cut
1996-07-31,hike
1997-02-28,cut
1998-04-30,cut
1998-11-30,cut
1998-12-31,cut
1999-01-31,cut
1999-08-31,hike
1999-09-30,hike
2000-03-31,hike
2000-04-30,hike
2000-05-31,hike
2000-06-30,hike
2000-07-31,hike
2001-02-28,cut
2001-03-31,cut
2001-04-30,cut
2001-05-31,cut
2001-06-30,cut
2001-07-31,cut
2001-08-31,cut
2001-09-30,cut
2001-10-31,cut
2001-11-30,cut
2001-12-31,cut
2002-01-31,cut
2004-08-31,hike
2004-09-30,hike
2004-10-31,hike
2004-11-30,hike
2004-12-31,hike
2005-01-31,hike
2005-02-28,hike
2005-03-31,hike
2005-04-30,hike
2005-05-31,hike
2005-06-30,hike
2005-07-31,hike
2005-08-31,hike
2005-09-30,hike
2005-10-31,hike
2005-11-30,hike
2005-12-31,hike
2006-01-31,hike
2006-02-28,hike
2006-03-31,hike
2006-04-30,hike
2006-05-31,hike
2006-06-30,hike
2006-07-31,hike
2006-08-31,hike
2007-10-31,cut
2007-11-30,cut
2007-12-31,cut
2008-01-31,cut
2008-02-29,cut
2008-03-31,cut
2008-04-30,cut
2008-05-31,cut
2008-10-31,cut
2008-11-30,cut
2008-12-31,cut
2009-01-31,cut
2010-04-30,hike
2011-02-28,cut
2011-03-31,cut
2011-04-30,cut
2011-05-31,cut
2012-03-31,hike
2012-04-30,hike
2012-05-31,hike
2016-02-29,hike
2016-08-31,hike
2017-01-31,hike
2017-02-28,hike
2017-03-31,hike
2017-04-30,hike
2017-05-31,hike
2017-06-30,hike
2017-07-31,hike
2017-08-31,hike
2018-01-31,hike
2018-02-28,hike
2018-03-31,hike
2018-04-30,hike
2018-05-31,hike
2018-06-30,hike
2018-07-31,hike
2018-11-30,hike
2018-12-31,hike
2019-01-31,hike
2019-10-31,cut
2019-11-30,cut
2020-08-31,hike
2022-05-31,hike
2022-06-30,hike
2022-07-31,hike
2022-08-31,hike
2022-09-30,hike
2022-10-31,hike
2022-11-30,hike
2022-12-31,hike
2023-01-31,hike
2023-02-28,hike
2023-03-31,hike
2023-04-30,hike
2023-05-31,hike
2023-06-30,hike
2023-07-31,hike
2023-08-31,hike
2024-11-30,cut
2024-12-31,cut
2025-01-31,cut
2025-11-30,cut
2025-12-31,cut
2026-01-31,cut
